大分類,項目,補足,重要度,対象
法務・コンプライアンス,著作権,文章/写真/イラストの出所・利用可否,B,全案件
法務・コンプライアンス,肖像権,スタッフ・お客様写真の同意取得状況,B,人物写真あり
法務・コンプライアンス,薬機法,化粧品/医療系の場合の表現規制,C,化粧品・医療
スケジュール・予算,公開希望日,確定/希望のいずれか・理由(イベント等),A,全案件
スケジュール・予算,着手希望日,いつから動けるか,A,全案件
スケジュール・予算,制作費の予算,上限・希望レンジ,A,全案件
スケジュール・予算,運用費の予算,月額の上限・希望レンジ,A,全案件
スケジュール・予算,支払いタイミング,着手金/中間金/納品時の比率合意,A,全案件
スケジュール・予算,マイルストーン,WF承認/デザイン承認/開発完了等の節目日,B,全案件
関係者・コミュニケーション,窓口担当者,名前・部署・連絡先・連絡可能時間帯,A,全案件
関係者・コミュニケーション,決裁者,最終判断を下す人物・承認フロー,A,全案件
関係者・コミュニケーション,コミュニケーション手段,メール/Slack/Chatwork/LINE等の優先順位,A,全案件
関係者・コミュニケーション,社内チームメンバー,レビュー担当・コンテンツ提供担当,B,全案件
関係者・コミュニケーション,定例会議の頻度,週次/隔週/月次,B,全案件
既存サイト引継,引き継ぐコンテンツ,維持するページ・破棄するページの仕分け,A,既存サイトあり
既存サイト引継,既存ドメインの維持,移管/維持/破棄の方針,A,既存サイトあり
既存サイト引継,既存サイトの停止タイミング,新サイト公開と旧サイト停止の同期,A,既存サイトあり
既存サイト引継,301リダイレクト計画,SEO評価を引き継ぐためのURLマッピング,A,既存サイトあり
既存サイト引継,URLマッピング表,旧URL→新URLの対応表(リダイレクト元データ),A,既存サイトあり
既存サイト引継,既存解析データ,GA/SCの過去データのエクスポート,B,既存サイトあり
業種別(EC),商品数・カテゴリ構成,初期登録数・カテゴリ階層,B,EC
業種別(EC),配送方法,送料・配送業者・配送エリア,B,EC
業種別(EC),在庫管理,在庫数連動・取置き機能の有無,B,EC
業種別(EC),ポイント制度,ポイント付与率・有効期限,C,EC
業種別(採用),求人媒体連動,Indeed/Wantedly等の連動,B,採用サイト
業種別(採用),応募フォーム項目,履歴書添付・カジュアル面談予約等,B,採用サイト
業種別(医療),医療広告ガイドラインの遵守,厚労省ガイドライン・治療内容の表現規制,A,医療・歯科
業種別(医療),予約システム,EPARK等の医療予約連携,B,医療・歯科
業種別(不動産),物件データ連携,RealnetやREINS等のデータ連動,B,不動産
業種別(不動産),空室情報自動更新,空室状況のリアルタイム反映,B,不動産
業種別(飲食),メニュー更新頻度,季節メニュー・新メニュー追加頻度,B,飲食
業種別(飲食),予約システム・GBP連動,テーブルチェック等・Googleマップ予約連動,B,飲食
